city,price_index,price_per_sqft_approx,source_year
Mumbai,285,45000,2024
Navi Mumbai,220,35000,2024
Thane,200,32000,2024
Delhi,180,28000,2024
New Delhi,200,32000,2024
Gurgaon,175,27000,2024
Gurugram,175,27000,2024
Noida,155,24000,2024
Greater Noida,120,19000,2024
Faridabad,130,20000,2024
Ghaziabad,125,19500,2024
Bengaluru,140,22000,2024
Bangalore,140,22000,2024
Hyderabad,115,18000,2024
Chennai,110,17000,2024
Kolkata,95,15000,2024
Pune,130,20000,2024
Ahmedabad,85,13000,2024
Ahmadabad,85,13000,2024
Surat,75,12000,2024
Jaipur,80,12500,2024
Lucknow,65,10000,2024
Chandigarh,120,19000,2024
Kochi,90,14000,2024
Cochin,90,14000,2024
Indore,70,11000,2024
Bhopal,65,10000,2024
Nagpur,60,9500,2024
Vadodara,70,11000,2024
Rajkot,55,8500,2024
Bhubaneswar,65,10000,2024
Coimbatore,75,12000,2024
Mysore,70,11000,2024
Mysuru,70,11000,2024
Thiruvananthapuram,85,13000,2024
Trivandrum,85,13000,2024
Visakhapatnam,65,10000,2024
Vizag,65,10000,2024
Ludhiana,70,11000,2024
Amritsar,60,9500,2024
Dehradun,85,13000,2024
Raipur,55,8500,2024
Ranchi,55,8500,2024
Jamshedpur,60,9500,2024
Guwahati,65,10000,2024
Srinagar,70,11000,2024
Jammu,65,10000,2024
Shimla,95,15000,2024
Goa,110,17000,2024
Panaji,100,15500,2024
Puducherry,90,14000,2024
Pondicherry,90,14000,2024
