state,upi_per_capita_annual,digital_payment_index,source_year
Andhra Pradesh,120,45,2024
Arunachal Pradesh,45,15,2024
Assam,55,18,2024
Bihar,37,5,2024
Chhattisgarh,50,16,2024
Chandigarh,270,95,2024
Dadra and Nagar Haveli and Daman and Diu,100,35,2024
Delhi,241,95,2024
Goa,280,98,2024
Gujarat,140,50,2024
Haryana,160,58,2024
Himachal Pradesh,90,32,2024
Jammu and Kashmir,70,25,2024
Jharkhand,45,12,2024
Karnataka,203,75,2024
Kerala,170,62,2024
Ladakh,80,28,2024
Lakshadweep,100,35,2024
Madhya Pradesh,60,20,2024
Maharashtra,185,68,2024
Manipur,55,18,2024
Meghalaya,50,16,2024
Mizoram,75,27,2024
Nagaland,55,18,2024
Odisha,65,22,2024
Puducherry,150,55,2024
Punjab,110,40,2024
Rajasthan,75,27,2024
Sikkim,85,30,2024
Tamil Nadu,145,52,2024
Telangana,274,100,2024
Tripura,50,16,2024
Uttar Pradesh,55,18,2024
Uttarakhand,95,34,2024
West Bengal,65,22,2024
Andaman and Nicobar Islands,90,32,2024
